RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Index Right	Pupil Diameter Right [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Right	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
8765086	12:49:35:949	Trial002	Noun_Practice.avi	0	222.2	OH102	CornflowerBlue	90	Eye	Fixation	1	3.7	817.3	400.4	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
8765094.4	12:49:35:958	Trial002	Noun_Practice.avi	0	222.2	OH102	CornflowerBlue	90	Eye	Fixation	1	3.7	816.8	404.1	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
8765103	12:49:35:966	Trial002	Noun_Practice.avi	0	222.2	OH102	CornflowerBlue	90	Eye	Fixation	1	3.7	818.4	410.7	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
8765111	12:49:35:974	Trial002	Noun_Practice.avi	0	222.2	OH102	CornflowerBlue	90	Eye	Fixation	1	3.7	820.1	399.6	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
8765119.4	12:49:35:983	Trial002	Noun_Practice.avi	0	222.2	OH102	CornflowerBlue	90	Eye	Fixation	1	3.7	822	402.2	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
8765127.7	12:49:35:991	Trial002	Noun_Practice.avi	0	222.2	OH102	CornflowerBlue	90	Eye	Fixation	1	3.7	818.8	405.7	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
18688016.5	15:00:43:220	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Information	Separator	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2354dfda85ca9d68801ebf295ba182ef.avi
18688024.7	15:00:43:228	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.5	1457.2	546.7	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688033.1	15:00:43:237	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1572.2	493.6	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688041.6	15:00:43:245	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1419.2	561.8	-	0.3	0.3	-0.9	-	-	-	-	-	-	-	-
18688049.8	15:00:43:253	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1499.6	515.5	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688058.1	15:00:43:262	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1434.6	559.9	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
