Filename	Trial	Phase	Subphase	Starting_time
SNAP Control Condition Transitive_xvid.avi	TransForward	TransForward	SalienceMOOP	44.48
SNAP Control Condition Transitive_xvid.avi	TransForward	TransForward	StarMOOP	69.56
SNAP Control Condition Transitive_xvid.avi	TransForward	TransForward	ResponseMOOP	72.52
SNAP Control Condition Transitive_xvid.avi	TransForward	TransForward	SalienceLORP	88.96
SNAP Control Condition Transitive_xvid.avi	TransForward	TransForward	StarLORP	114.00
SNAP Control Condition Transitive_xvid.avi	TransForward	TransForward	ResponseLORP	117.00
SNAP Control Condition Transitive_xvid.avi	TransForward	TransForward	SalienceBIFF	133.24
SNAP Control Condition Transitive_xvid.avi	TransForward	TransForward	StarBIFF	158.28
SNAP Control Condition Transitive_xvid.avi	TransForward	TransForward	ResponseBIFF	161.20
SNAPControlConditionTransitive_xvid.avi	TransForward	TransForward	SalienceFEZ	0.00
SNAPControlConditionTransitive_xvid.avi	TransForward	TransForward	StarFEZ	25.08
SNAPControlConditionTransitive_xvid.avi	TransForward	TransForward	ResponseFEZ	28.04
SNAPControlConditionTransitive_xvid.avi	TransForward	TransForward	SalienceMOOP	44.48
SNAPControlConditionTransitive_xvid.avi	TransForward	TransForward	StarMOOP	69.56
SNAPControlConditionTransitive_xvid.avi	TransForward	TransForward	ResponseMOOP	72.52
SNAPControlConditionTransitive_xvid.avi	TransForward	TransForward	SalienceLORP	88.96
SNAPControlConditionTransitive_xvid.avi	TransForward	TransForward	StarLORP	114.00
SNAPControlConditionTransitive_xvid.avi	TransForward	TransForward	ResponseLORP	117.00
SNAPControlConditionTransitive_xvid.avi	TransForward	TransForward	SalienceBIFF	133.24
SNAPControlConditionTransitive_xvid.avi	TransForward	TransForward	StarBIFF	158.28
SNAPControlConditionTransitive_xvid.avi	TransForward	TransForward	ResponseBIFF	161.20
