ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	[Gender]Value	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	AOI[1]Hit	AOI[2]Hit	AOI[3]Hit	AOI[4]Hit	AOI[ 5]Hit	AOI[ 6]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														459	11:16:28.112	1167615521437790																2		Fixation	330									14	945	822	952	719	948	770			119.18	32.61	120.11	45.52	119.65	39.06	156.80	252.94	562.10	213.32	253.37	557.01					606.56	606.56	3.51	3.49	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														491	11:16:28.144	1167615521469797																2		Fixation	330									15	928	842	949	734	938	788			117.06	30.04	119.78	43.64	118.42	36.84	157.11	252.86	562.40	213.64	253.23	557.31					606.81	606.81	3.45	3.51	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									504	11:16:28.157										1	ScreenRecStarted						2		Fixation	330	985	773																																									
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									523	11:16:28.176	1167615521501690																2		Fixation	330	985	773	-1	-1	-1	-1	-1	-1	16	968	868	918	750	943	809	943	809	122.17	26.78	115.86	41.57	119.02	34.18	157.46	252.73	562.59	214.07	253.14	557.75					606.94	606.94	3.48	3.48	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									554	11:16:28.208	1167615521533546																	2	Saccade	64			-1	-1	-1	-1	-1	-1	17	1040	832	1041	719	1040	775	1040	775	131.24	31.23	131.34	45.55	131.29	38.39	157.98	252.66	562.81	214.56	252.90	557.98					607.14	607.14	3.42	3.50	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									587	11:16:28.241	1167615521566114																	2	Saccade	64			-1	-1	-1	-1	-1	-1	18	1357	740	1350	614	1353	677	1353	677	171.18	42.87	170.32	58.80	170.75	50.84	158.93	252.68	562.96	215.39	252.74	558.19					607.34	607.34	3.43	3.44	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									619	11:16:28.272	1167615521597874																3		Fixation	127	1359	672	-1	-1	-1	-1	-1	-1	19	1362	711	1362	615	1362	663	1362	663	171.89	46.59	171.88	58.67	171.89	52.63	159.43	252.77	563.23	215.99	252.73	558.68					607.66	607.66	3.40	3.48	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									651	11:16:28.304	1167615521629862																3		Fixation	127	1359	672	-1	-1	-1	-1	-1	-1	20	1397	742	1360	630	1378	686	1378	686	176.32	42.66	171.58	56.74	173.95	49.70	160.01	252.90	563.32	216.61	252.67	558.90					607.83	607.83	3.45	3.48	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									683	11:16:28.336	1167615521661688																3		Fixation	127	1359	672	-1	-1	-1	-1	-1	-1	21	1356	695	1334	629	1345	662	1345	662	171.12	48.60	168.38	56.94	169.75	52.77	160.71	253.17	563.49	217.36	252.79	559.47					608.14	608.14	3.37	3.49	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									714	11:16:28.368	1167615521693206																3		Fixation	127	1359	672	-1	-1	-1	-1	-1	-1	22	1340	687	1361	665	1350	676	1350	676	169.04	49.54	171.66	52.38	170.35	50.96	161.58	253.61	563.60	218.23	252.88	559.79					608.48	608.48	3.41	3.52	0	0				
